Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA10,MA20,MA55,MACD,MACD_Signal,MACD_Hist,ATR,RSI
2025-01-02 05:00:00+00:00,189.77266033181004,191.1164539742449,186.63716208422355,188.5582733154297,20370800,0.0,0.0,,,,0.0,0.0,0.0,,
2025-01-03 05:00:00+00:00,190.489329030918,192.32087307336823,189.10572628313415,190.9073944091797,18596200,0.0,0.0,,,,0.18739427528490182,0.03747885505698036,0.14991542022792145,,
2025-01-06 05:00:00+00:00,193.08731986382296,197.30781329054136,192.9579284385956,195.96401977539065,29563600,0.0,0.0,,,,0.735455126726805,0.1770741093909453,0.5583810173358597,,
2025-01-07 05:00:00+00:00,196.2029332360376,200.0750314967655,193.7044893056301,194.59039306640625,26487200,0.0,0.0,,,,1.046889217291067,0.35103713097096967,0.6958520863200974,,
2025-01-08 05:00:00+00:00,191.683825506133,195.38669258245943,191.4946974309445,193.05746459960935,24864800,0.0,0.0,,,,1.1566750320081383,0.5121647111784035,0.6445103208297348,,
2025-01-10 05:00:00+00:00,193.40585949210487,195.6156445534528,189.4342154897214,191.15625,26665200,0.0,0.0,,,,1.0778442346580164,0.6253006158743261,0.4525436187836903,,
2025-01-13 05:00:00+00:00,189.1953200102213,190.3001972959748,186.49778453538252,190.1309814453125,21823700,0.0,0.0,,,,0.9220112838285104,0.684642749465163,0.23736853436334737,,
2025-01-14 05:00:00+00:00,190.3599316953501,191.0965165438372,187.44340746260227,188.7872009277344,17174900,0.0,0.0,,,,0.6822165228438166,0.6841575041408937,-0.0019409812970770934,,
2025-01-15 05:00:00+00:00,192.20141470890871,195.4563707355863,190.977079303644,194.6501007080078,21776000,0.0,0.0,,,,0.9542642963067465,0.7381788625740643,0.2160854337326822,,
2025-01-16 05:00:00+00:00,193.2465980564925,194.5804279448186,191.92271668187493,192.0222625732422,17815400,0.0,0.0,191.98243408203126,,,0.9469042186533159,0.7799239337899146,0.16698028486340122,,
2025-01-17 05:00:00+00:00,195.62556692490557,196.32234248434244,192.85836171130745,195.09800720214844,27735100,0.0,0.0,192.63640747070312,,,1.1757053906763133,0.8590802251671944,0.3166251655091189,,
2025-01-21 05:00:00+00:00,198.1539212272468,201.3590893649602,196.95943127097465,197.13861083984372,29971300,0.0,0.0,193.25952911376953,,,1.504350412326147,0.9881342625989851,0.516216149727162,,
2025-01-22 05:00:00+00:00,198.14394994474472,199.5574134711185,196.62099201618707,197.4571228027344,26200600,0.0,0.0,193.4088394165039,,,1.7701005954182563,1.1445275291628394,0.6255730662554169,,
2025-01-23 05:00:00+00:00,197.2281913014452,199.3782549776066,194.30171827365388,197.0689239501953,26951400,0.0,0.0,193.6566925048828,,,1.9271699119355503,1.3010560057173817,0.6261139062181686,4.812037539166902,64.72616266543874
2025-01-24 05:00:00+00:00,197.18837511510904,199.9754777209976,197.0888292269401,199.2886657714844,23877500,0.0,0.0,194.27981262207032,,,2.205341289116774,1.4819130623972603,0.7234282267195136,4.699699102079825,67.24250634432198
