Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA10,MA20,MA55,MACD,MACD_Signal,MACD_Hist,ATR,RSI
2025-01-02 05:00:00+00:00,469.5512103122046,473.2037250113037,465.18366225832034,465.9856567382813,953700,0.0,0.0,,,,0.0,0.0,0.0,,
2025-01-03 05:00:00+00:00,465.1836561980268,467.5993412714718,464.6908470067742,465.5701599121094,817200,0.0,0.0,,,,-0.033145045962442055,-0.0066290091924884114,-0.026516036769953642,,
2025-01-06 05:00:00+00:00,462.6036537563341,463.8114961943401,450.1483683812117,450.2836608886719,1698600,0.0,0.0,,,,-1.2781714850281674,-0.26093750435962426,-1.017233980668543,,
2025-01-07 05:00:00+00:00,450.0131517643411,457.4534737449896,447.32691108476257,448.3125,1276600,0.0,0.0,,,,-2.3962970966684907,-0.6880094228213975,-1.7082876738470931,,
2025-01-08 05:00:00+00:00,447.8679652134112,453.3950532559884,445.6841767018839,453.03753662109375,998700,0.0,0.0,,,,-2.868087208986992,-1.1240249800545166,-1.7440622289324756,,
2025-01-10 05:00:00+00:00,452.2161939490106,455.6851137785229,450.02276276937647,452.2644958496094,1127400,0.0,0.0,,,,-3.26670565244342,-1.5525611145322973,-1.7141445379111229,,
2025-01-13 05:00:00+00:00,453.1824864120162,468.46894750848907,452.9892198250329,466.8649291992188,1435200,0.0,0.0,,,,-2.3770792010237187,-1.7174647318305816,-0.6596144691931372,,
2025-01-14 05:00:00+00:00,468.6428899666988,468.8361565620219,461.8499849267152,468.12109375,1162000,0.0,0.0,,,,-1.5527823395810287,-1.6845282533806711,0.1317459137996424,,
2025-01-15 05:00:00+00:00,471.3098001212604,471.3098001212604,464.1690213425289,467.6476135253906,882200,0.0,0.0,,,,-0.9270406872562376,-1.5330307401557846,0.605990052899547,,
2025-01-16 05:00:00+00:00,465.5508108491753,470.5754475464458,465.2609404386317,470.4401550292969,956400,0.0,0.0,460.8527801513672,,,-0.20345584609458456,-1.2671157613435446,1.06365991524896,,
2025-01-17 05:00:00+00:00,471.0972372255801,475.4551129413406,467.8602134072372,473.7834777832031,1337600,0.0,0.0,461.6325622558594,,,0.6324777488147788,-0.88719705931188,1.5196748081266587,,
2025-01-21 05:00:00+00:00,478.3056324939598,492.3649074719301,478.0350769520828,489.2148742675781,1615900,0.0,0.0,463.9970336914063,,,2.511198344732975,-0.20751797850290898,2.718716323235884,,
2025-01-22 05:00:00+00:00,486.2677303738421,488.48050614541233,478.4795640999124,482.499267578125,1324800,0.0,0.0,467.2185943603516,,,3.4187948780489705,0.517744592807467,2.9010502852415034,,
2025-01-23 05:00:00+00:00,486.5382682818942,488.9346383902026,477.3200356592661,480.50872802734375,913000,0.0,0.0,470.43821716308594,,,3.932124677843319,1.2006206098146375,2.7315040680286815,9.573020719587229,60.40711553382682
2025-01-24 05:00:00+00:00,478.3056047250173,480.5183803248239,477.9191010431096,480.1994934082031,759400,0.0,0.0,473.1544128417969,,,4.264827318573111,1.8134619515663324,2.4513653670067788,9.185821900210868,60.140578468816344
2025-01-27 05:00:00+00:00,483.2239832267948,490.007216401295,480.0256184995509,486.70257568359375,1948600,0.0,0.0,476.5982208251953,,,4.995654157995659,2.449900392852198,2.5457537651434614,9.691043588571334,63.87159558796132
