Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA10,MA20,MA55,MACD,MACD_Signal,MACD_Hist,ATR
2025-01-02 05:00:00+00:00,12.890000343322754,12.960000038146973,11.3100004196167,11.93000030517578,8479100,0.0,0.0,,,,0.0,0.0,0.0,
2025-01-03 05:00:00+00:00,12.31999969482422,13.979999542236328,12.052000045776367,13.199999809265137,11874900,0.0,0.0,,,,0.10131050175071721,0.020262100350143444,0.08104840140057376,
2025-01-06 05:00:00+00:00,13.5,15.27400016784668,12.84000015258789,14.1899995803833,16451700,0.0,0.0,,,,0.25850463156767667,0.06791060659365009,0.19059402497402658,
2025-01-07 05:00:00+00:00,14.279999732971191,14.960000038146973,12.869999885559082,13.0600004196167,12426200,0.0,0.0,,,,0.288574120661492,0.11204330940721847,0.17653081125427356,
2025-01-08 05:00:00+00:00,12.260000228881836,13.130000114440918,11.350000381469728,11.829999923706056,9841000,0.0,0.0,,,,0.21072454554085063,0.13177955663394492,0.07894498890690571,
2025-01-10 05:00:00+00:00,11.5,11.600000381469728,9.93000030517578,10.029999732971191,10300900,0.0,0.0,,,,0.003740110552485021,0.10617166741765294,-0.10243155686516792,
2025-01-13 05:00:00+00:00,9.531000137329102,9.786999702453612,8.979999542236328,9.329999923706056,7212600,0.0,0.0,,,,-0.21431024478493477,0.0420752849771354,-0.2563855297620702,
2025-01-14 05:00:00+00:00,9.890000343322754,10.199999809265137,9.0,9.369999885559082,7144300,0.0,0.0,,,,-0.3795142556304203,-0.04224262314437575,-0.3372716324860445,
2025-01-15 05:00:00+00:00,10.18000030517578,11.156999588012695,10.029999732971191,10.90999984741211,12277700,0.0,0.0,,,,-0.38177364887287624,-0.11014882829007586,-0.27162482058280035,
2025-01-16 05:00:00+00:00,11.0,11.25,9.59000015258789,10.104999542236328,12797500,0.0,0.0,11.395499897003173,,,-0.4434096804714702,-0.17680099872635474,-0.2666086817451155,
2025-01-17 05:00:00+00:00,10.100000381469728,10.100000381469728,8.289999961853027,8.555000305175781,13262700,0.0,0.0,11.057999897003175,,,-0.61029357963222,-0.2634995149075278,-0.34679406472469215,
