Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA10,MA20,MA55,MACD,MACD_Signal,MACD_Hist,ATR
2025-01-02 05:00:00+00:00,76.19999694824219,76.52999877929688,72.41999816894531,75.19000244140625,72217200,0.0,0.0,,,,0.0,0.0,0.0,
2025-01-03 05:00:00+00:00,75.38999938964844,79.9800033569336,75.19000244140625,79.88999938964844,62415000,0.0,0.0,,,,0.3749285314837181,0.07498570629674361,0.29994282518697446,
2025-01-06 05:00:00+00:00,78.69000244140625,80.05999755859375,74.61000061035156,75.91999816894531,105619500,0.0,0.0,,,,0.3477080125446861,0.12953016754633212,0.21817784499835396,
2025-01-07 05:00:00+00:00,75.19999694824219,75.38999938964844,69.75,69.98999786376953,91727300,0.0,0.0,,,,-0.15062954672407614,0.07349822469225048,-0.22412777141632662,
2025-01-08 05:00:00+00:00,68.12000274658203,69.52999877929688,66.51000213623047,68.2300033569336,91349500,0.0,0.0,,,,-0.6797468025742717,-0.07715078076105396,-0.6025960218132177,
2025-01-10 05:00:00+00:00,66.01000213623047,68.19999694824219,65.04000091552734,67.26000213623047,78148600,0.0,0.0,,,,-1.1639299716004814,-0.2945066189289395,-0.8694233526715419,
2025-01-13 05:00:00+00:00,64.29000091552734,65.68000030517578,63.400001525878906,64.9800033569336,69046300,0.0,0.0,,,,-1.7118918445808617,-0.5779836640593239,-1.1339081805215379,
2025-01-14 05:00:00+00:00,67.18000030517578,68.2300033569336,65.19000244140625,65.91000366210938,56814900,0.0,0.0,,,,-2.047509904826896,-0.8718889122128384,-1.1756209926140575,
2025-01-15 05:00:00+00:00,68.55000305175781,68.8499984741211,67.08000183105469,68.13999938964844,56025800,0.0,0.0,,,,-2.10923368424929,-1.1193578666201287,-0.9898758176291611,
2025-01-16 05:00:00+00:00,69.08000183105469,71.43000030517578,68.36000061035156,69.23999786376953,62908700,0.0,0.0,70.47500076293946,,,-2.045806753562019,-1.3046476440085066,-0.7411591095535122,
2025-01-17 05:00:00+00:00,70.9000015258789,72.33999633789062,69.94999694824219,71.7699966430664,54754000,0.0,0.0,70.13300018310547,,,-1.7709759878253948,-1.3979133127718844,-0.37306267505351043,
2025-01-21 05:00:00+00:00,73.23999786376953,73.63600158691406,70.60099792480469,73.06999969482422,56229000,0.0,0.0,69.45100021362305,,,-1.4317667286285456,-1.4046839959432167,-0.027082732685328903,
2025-01-22 05:00:00+00:00,74.5,77.16000366210938,73.80000305175781,76.87000274658203,66876400,0.0,0.0,69.54600067138672,,,-0.8465539119821983,-1.293057979151013,0.44650406716881474,
2025-01-23 05:00:00+00:00,76.04000091552734,79.0,75.83999633789062,78.9800033569336,55937900,0.0,0.0,70.44500122070312,,,-0.2100873669237444,-1.0764638567055593,0.8663764897818149,3.8510714939662387
2025-01-24 05:00:00+00:00,79.05000305175781,82.23999786376953,78.44000244140625,78.9800033569336,77931900,0.0,0.0,71.52000122070312,,,0.29096291614968095,-0.8029785021345114,1.0939414182841922,3.8289282662527904
2025-01-27 05:00:00+00:00,74.06999969482422,76.72000122070312,72.66999816894531,75.44000244140625,76093300,0.0,0.0,72.3380012512207,,,0.3978146271064418,-0.5628198762863208,0.9606345033927626,3.9375
2025-01-28 05:00:00+00:00,75.54000091552734,80.73999786376953,74.04000091552734,80.2300033569336,65916700,0.0,0.0,73.86300125122071,,,0.8591051901818076,-0.27843486299269515,1.1375400531745028,4.026785714285714
2025-01-29 05:00:00+00:00,79.94999694824219,80.81999969482422,77.80999755859375,79.76000213623047,49262200,0.0,0.0,75.24800109863281,,,1.1732318280886602,0.011898475223575927,1.1613333528650842,3.8010717119489397
2025-01-30 05:00:00+00:00,80.0199966430664,81.83000183105469,79.37999725341797,81.22000122070312,46067500,0.0,0.0,76.55600128173828,,,1.5224394419840195,0.31400666857566467,1.2084327734083549,3.7275009155273438
2025-01-31 05:00:00+00:00,81.0,85.22000122070312,80.87000274658203,82.48999786376953,78731000,0.0,0.0,77.88100128173828,74.17800102233886,,1.879995687166769,0.6272044722938855,1.2527912148728833,3.8103577750069753
2025-02-03 05:00:00+00:00,80.125,84.25,78.47000122070312,83.73999786376953,126592700,0.0,0.0,79.0780014038086,74.60550079345703,,2.238422993937675,0.9494481766226436,1.2889748173150317,3.9475005013602122
2025-02-04 05:00:00+00:00,102.8000030517578,106.91000366210938,100.51000213623048,103.83000183105467,230806800,0.0,0.0,82.15400161743165,75.80250091552735,,4.096354414080778,1.5788294241142706,2.5175249899665078,5.370358058384487
2025-02-05 05:00:00+00:00,101.77999877929688,103.56999969482422,99.31999969482422,101.36000061035156,90628300,0.0,0.0,84.60300140380859,77.07450103759766,,5.308279453121642,2.324719429915745,2.983560023205897,5.482501438685825
2025-02-06 05:00:00+00:00,101.08999633789062,111.54499816894533,100.26000213623048,111.27999877929688,128217500,0.0,0.0,87.83300094604492,79.13900108337403,,6.988639044729098,3.257503352878416,3.7311356918506817,6.053572518484932
2025-02-07 05:00:00+00:00,111.66000366210938,116.3000030517578,110.4499969482422,110.8499984741211,143795400,0.0,0.0,91.02000045776367,81.2700008392334,,8.19121546344195,4.244245774991123,3.9469696884508263,6.250001634870253
2025-02-10 05:00:00+00:00,112.02999877929688,116.76000213623048,108.72000122070312,116.6500015258789,99938100,0.0,0.0,95.14100036621093,83.73950080871582,,9.502736086637086,5.295943837320316,4.20679224931677,6.607501438685824
2025-02-11 05:00:00+00:00,116.5,118.66000366210938,112.0999984741211,112.62000274658205,94311700,0.0,0.0,98.38000030517578,86.12150077819824,,10.100506061599475,6.256856282176148,3.843649779423327,6.783930097307476
2025-02-12 05:00:00+00:00,110.29000091552734,117.58999633789062,110.0,117.38999938964844,75316900,0.0,0.0,102.14300003051758,88.6955005645752,,10.834251431611222,7.172335312063163,3.6619161195480583,7.100358145577565
2025-02-13 05:00:00+00:00,117.30999755859376,118.38999938964844,115.1500015258789,117.91000366210938,60027000,0.0,0.0,105.8120002746582,91.18400077819824,,11.327137729775558,8.003295795605643,3.3238419341699146,7.060358319963726
2025-02-14 05:00:00+00:00,117.9000015258789,120.66999816894533,116.8000030517578,119.16000366210938,65528900,0.0,0.0,109.47900085449218,93.68000106811523,,11.683933117456746,8.739423259975865,2.944509857480881,6.886071886335101
2025-02-18 05:00:00+00:00,120.94000244140624,125.0,118.43000030517578,124.62000274658205,84227200,0.0,0.0,113.56700134277344,96.32250137329102,,12.265878910926077,9.444714390165908,2.8211645207601688,6.876786368233817
2025-02-19 05:00:00+00:00,123.86000061035156,125.41000366210938,108.55999755859376,112.05999755859376,147487300,0.0,0.0,114.39000091552734,98.27200126647949,,11.58009951575994,9.871791415284715,1.7083081004752252,7.865358080182756
2025-02-20 05:00:00+00:00,102.91000366210938,107.4000015258789,95.8000030517578,106.2699966430664,243093900,0.0,0.0,114.88100051879883,99.74200096130372,,10.448960605878185,9.987225253403409,0.4617353524747756,8.851785932268417
2025-02-21 05:00:00+00:00,107.68000030517578,109.06999969482422,100.0,101.3499984741211,129063200,0.0,0.0,113.88800048828125,100.86050071716309,,9.051185701686009,9.80001734305993,-0.7488316413739202,9.188928876604352
