Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA10,MA20,MA55,MACD,MACD_Signal,MACD_Hist,ATR,RSI
2025-01-02 05:00:00+00:00,2.5,2.789999961853028,2.450000047683716,2.630000114440918,10396100,0.0,0.0,,,,0.0,0.0,0.0,,
2025-01-03 05:00:00+00:00,3.2300000190734863,3.400000095367432,2.759999990463257,2.799999952316284,37322500,0.0,0.0,,,,0.013561240628234383,0.002712248125646877,0.010848992502587506,,
2025-01-06 05:00:00+00:00,3.049999952316284,3.130000114440918,2.630000114440918,2.690000057220459,15491300,0.0,0.0,,,,0.01525667979509615,0.005221134459536732,0.010035545335559419,,
2025-01-07 05:00:00+00:00,2.690000057220459,2.759000062942505,2.400000095367432,2.650000095367432,8343400,0.0,0.0,,,,0.013220269880057867,0.006820961543640959,0.006399308336416908,,
2025-01-08 05:00:00+00:00,2.720000028610229,2.7300000190734863,2.0899999141693115,2.539999961853028,20144700,0.0,0.0,,,,0.002699194254534021,0.0059966080858195716,-0.0032974138312855507,,
2025-01-10 05:00:00+00:00,2.390000104904175,2.4600000381469727,2.200000047683716,2.240000009536743,6276300,0.0,0.0,,,,-0.029506193890461052,-0.0011039523094365537,-0.028402241581024498,,
2025-01-13 05:00:00+00:00,2.049999952316284,2.190000057220459,1.8200000524520876,1.8799999952316284,8172000,0.0,0.0,,,,-0.08312003253677114,-0.01750716835490347,-0.06561286418186767,,
2025-01-14 05:00:00+00:00,1.899999976158142,2.130000114440918,1.899999976158142,1.9900000095367432,4833800,0.0,0.0,,,,-0.11540301002123021,-0.037086336688168825,-0.07831667333306139,,
2025-01-15 05:00:00+00:00,2.059999942779541,2.257999897003174,1.9989999532699585,2.2100000381469727,5071700,0.0,0.0,,,,-0.1218309472493071,-0.05403525880039649,-0.06779568844891061,,
2025-01-16 05:00:00+00:00,2.2699999809265137,2.2699999809265137,2.005000114440918,2.200000047683716,3917800,0.0,0.0,2.3830000281333925,,,-0.1262764135789225,-0.06848348975610169,-0.05779292382282081,,
2025-01-17 05:00:00+00:00,2.200000047683716,2.200000047683716,2.0199999809265137,2.069999933242798,3928200,0.0,0.0,2.32700001001358,,,-0.13869066084580073,-0.0825249239740415,-0.05616573687175923,,
2025-01-21 05:00:00+00:00,2.0999999046325684,2.140000104904175,1.940000057220459,2.009999990463257,4724600,0.0,0.0,2.2480000138282774,,,-0.1516227228196909,-0.09634448374317138,-0.055278239076519534,,
2025-01-22 05:00:00+00:00,2.069999933242798,2.4600000381469727,1.9900000095367432,2.369999885559082,7804200,0.0,0.0,2.21599999666214,,,-0.1313088455799698,-0.10333735611053108,-0.027971489469438726,,
2025-01-23 05:00:00+00:00,2.1700000762939453,2.299999952316284,2.0999999046325684,2.109999895095825,4018200,0.0,0.0,2.1619999766349793,,,-0.13463775757349694,-0.10959743640312425,-0.025040321170372692,0.37657141685485845,38.39285106074991
